 1069
 EPZ   3020 72364  31.90 106.70 1257  19950911 99999999  SANTA TERESA             NM  US       23044
 DRA   3109 72387  36.93 116.07 1259  19510811 19520428  MERCURY/TEST SITE        NV  US
 DRA   3109 72387  36.60 115.97 1155  19520429 19521204  MERCURY/TEST SITE        NV  US
 DRA   3109 72387  36.95 116.05 1197  19521204 19530605  MERCURY/TEST SITE        NV  US
 DRA   3109 72387  36.95 116.08 1196  19550201 19551105  MERCURY/TEST SITE        NV  US
 NID   3120 72388  35.78 117.78  687  19470709 19540309  N CHINA LAKE/B-1 RANGE   CA  US
 NID   3120 72388  35.78 117.78  670  19540310 19561231  N CHINA LAKE/G-1 RANGE   CA  US
 NID   3120 72388  35.78 117.78  666  19570101 19640229  N CHINA LAKE/G-1 RANGE   CA  US
 VEF   3120 72388  36.05 115.18  693  20100000 99999999  LAS VEGAS                NV  US
 SGU   3121 72475  37.10 113.60  895  19570417 19570928  ST GEORGE                UT  US
 OCS   3123 72292  33.40 117.50   69  19540721 19541015  CAMP PENDLETON           CA  US
 FHU   3124 72273  31.57 110.33 1425  19550104 19550108  FT HUACHUCA              AZ  US
 FHU   3124 72273  31.57 110.33 1428  19550109 19580611  FT HUACHUCA              AZ  US
 FHU   3124 72273  31.57 110.33 1420  19580612 19580617  FT HUACHUCA              AZ  US
 FHU   3124 72273  31.57 110.33 1422  19580618 19590226  FT HUACHUCA              AZ  US
 FHU   3124 72273  31.57 110.33 1423  19590227 19590325  FT HUACHUCA              AZ  US
 FHU   3124 72273  31.57 110.33 1432  19590326 19611028  FT HUACHUCA              AZ  US
 FHU   3124 72273  31.57 110.33 1439  19611029 19710730  FT HUACHUCA              AZ  US
 YUM   3125 72280  32.85 114.40  106  19540511 19560831  YUMA                     AZ  US
 YUM   3125 72280  32.83 114.40  106  19560901 19580917  YUMA                     AZ  US
 YUM   3125 72280  32.87 114.33  131  19580918 19610906  YUMA                     AZ  US
 YUM   3125 72280  32.87 114.33   98  19610907 19630607  YUMA                     AZ  US
 YUM   3125 72280  32.83 114.40   98  19630608 19630630  YUMA                     AZ  US
 YUM   3125 72280  32.87 114.33  131  19650601 19710727  YUMA/US ARMY MET TEAM    AZ  US
 YUM   3125 72280  32.87 114.33  131  19920513 99999999  YUMA/US ARMY MET TEAM    AZ  US
 SAN   3131 72290  32.82 117.13  124  19560616 19890913  SAN DIEGO MONTGOMERY     CA  US
 TPH   3132 72485  38.07 117.10 1650  19560920 19581031  TONOPAH                  NV  US
 UCC   3133 72385  36.95 116.05 1196  19560916 19590428  YUCCA FLAT               NV  US
 UCC   3133 72385  36.95 116.05 1196  19590815 19600714  YUCCA FLAT               NV  US
 UCC   3133 72385  36.95 116.05 1196  19610914 19660920  YUCCA FLAT               NV  US
 UCC   3133 72385  36.95 116.05 1196  19660921 19681110  YUCCA FLAT               NV  US
 UCC   3133 72385  36.95 116.05 1198  19681111 19790514  YUCCA FLAT               NV  US
 UCC   3133 72385  36.95 116.05 1195  19940000 20009999  YUCCA FLAT               NV  US
 999   3134 99999  35.27 116.08  284  19570423 19570928  BAKER                    CA  US
 4JA   3143 72385  36.80 116.27 1100  19590429 19590815  JACKASS FLATS            NV  US
 4JA   3143 72385  36.80 116.27 1100  19600526 19610420  JACKASS FLATS            NV  US
 4JA   3143 72385  36.80 116.27 1102  19610421 19671219  JACKASS FLATS            NV  US
 999   3145 99999  32.58 114.62   65  19930801 19949999  YUMA/MCAS                AZ  US
 NJK   3146 72281  32.97 115.82   73  19620228 19680830  EL CENTRO                CA  US
 GBN   3148 74724  32.95 112.67  262  19940101 20020329  GILA BEND AAF            AZ  US
 PHX   3149 72278  33.43 112.37  295  19630813 19631022  PHOENIX/LITCHFIELD PARK  AZ  US
 NSI   3158 72291  33.27 119.55    9  19730901 19830107  SAN NICOLAS/SITE #2      CA  US
 DRA   3160 72387  36.62 116.02 1007  19780516 99999999  DESERT ROCK/MERCURY      NV  US
 4SU   3176 74619  35.33 117.10  962  19000000 19659999  SUPERIOR VALLEY GUN RANGECA  US
 BYS   3182 74611  35.28 116.62  716  19820101 19920312  BICYCLE LAKE AAF         CA  US
 NKX   3190 72293  32.87 117.15  134  19890915 99999999  MIRAMAR NAS              CA  US
 EDW   3197 72381  34.90 117.92  724  19930104 99999999  EDWARDS/AFB - UPPER AIR  CA  US
 REV   3198 72489  39.57 119.80 1516  19941026 99999999  RENO                     NV  US       24128
 PAH   3816 72435  37.07  88.77  126  19881128 19950211  PADUCAH                  KY  US  4833
 TYS   3851 72326  35.82  83.98  301  19550215 19560618  KNOXVILLE/McGHEE-TYSON   TN  US
 PNS   3855 72222  30.35  87.32   10  19550523 19680630  PENSACOLA/F. SHERMAN FLD FL  US
 HTS   3860 72425  38.37  82.55  246  19611201 19951030  HUNTINGTON               WV  US 53829
 SLO   3879 72433  38.65  88.97  174  19690625 19700130  SALEM                    IL  US
 SLO   3879 72433  38.65  88.97  175  19700131 19881128  SALEM                    IL  US
 CKL   3881 72229  32.90  87.25  140  19741116 19940822  CENTERVILLE              AL  US 53823
 FSM   3926 72344  35.33  94.30  146  19530317 19550930  FT SMITH                 AR  US
 FSM   3926 72344  35.30  94.32  147  19560215 19560630  FT SMITH                 AR  US
 FSM   3926 72344  35.33  94.37  140  19570201 19570831  FT SMITH                 AR  US
 FSM   3926 72344  35.30  94.30  146  19580201 19581031  FT SMITH                 AR  US
 FSM   3926 72344  35.32  94.27  142  19590201 19640518  FT SMITH                 AR  US
 LCH   3937 72240  30.12  93.22    5  19611231 99999999  LAKE CHARLES             LA  US
 JAN   3940 72235  32.32  90.08  100  19681018 19780917  JACKSON/THOMPSON FLD     MS  US
 JAN   3940 72235  32.32  90.07   91  19780918 99999999  JACKSON/THOMPSON FLD     MS  US
 UMN   3946 72349  36.88  93.90  438  19700905 19950517  MONETT                   MO  US 13995
 OUN   3948 72357  35.23  97.47  362  19740101 19750106  NORMAN                   OK  US
 OUN   3948 72357  35.23  97.47  362  19890328 99999999  NORMAN                   OK  US
 GGG   3951 72247  32.35  94.65  124  19750713 19950221  LONGVIEW                 TX  US 13957
 1M1   3952 72340  34.83  92.27  172  19751219 19940930  N LITTLE ROCK            AR  US
 LZK   3952 72340  34.83  92.27  172  19941001 99999999  N LITTLE ROCK            AR  US
 FWD   3990 72249  32.80  97.30  196  19940712 99999999  FT WORTH                 TX  US       13901
 TFX   4102 72776  47.45 111.38 1130  19940915 99999999  GREAT FALLS              MT  US       24143
 LKN   4105 72582  40.87 115.73 1608  19950805 99999999  ELKO                     NV  US
 OTX   4106 72786  47.68 117.63  728  19950921 99999999  SPOKANE INTNL APT        WA  US       24157
 IAG   4738 72528  43.12  78.92  182  19540315 19600820  NIAGARA FALLS            NY  US
 DTX   4830 72632  42.70  83.47  329  19940914 99999999  DETROIT/PONTIAC          MI  US       14826
 ILX   4833 74560  40.15  89.33  178  19950210 99999999  LINCOLN-LOGAN COUNTY AP  IL  US        3816
 APX   4837 72634  44.91  84.72  448  19950503 99999999  GAYLORD / ALPENA         MI  US       14847
 JNR  11630 78535  18.25  65.57   20  19881001 19890512  ROOSELVELT ROADS         PR  US
 JNR  11630 78535  18.25  65.55   12  19940405 20009999  ROOSELVELT ROADS         PR  US
 999  11631 78526  18.45  66.10    6  19451210 19491108  SAN JUAN                 PR  US
 999  11631 78526  18.47  66.12    6  19491109 19500131  SAN JUAN                 PR  US
 SIG  11636 78526  18.45  66.10   19  19500201 19560210  SAN JUAN/ISLA GRANDE     PR  US
 JSJ  11641 78526  18.43  66.00   23  19550701 19560331  SAN JUAN/ISLA VERDE      PR  US
 JSJ  11641 78526  18.43  66.00   19  19560210 19550630  SAN JUAN/ISLA VERDE      PR  US
 JSJ  11641 78526  18.43  66.00    6  19560401 19750223  SAN JUAN/ISLA VERDE      PR  US
 JSJ  11641 78526  18.43  66.00    3  19750224 99999999  SAN JUAN/ISLA VERDE      PR  US
 AQQ  12832 72220  29.73  85.03   23  19480101 19480831  APALACHICOLA             FL  US
 AQQ  12832 72220  29.73  85.03    7  19740701 19910611  APALACHICOLA             FL  US
 EYW  12836 72201  24.55  81.75    1  19720629 99999999  KEY WEST INT AP          FL  US       12850
 MIA  12839 72202  25.82  80.28   12  19480101 19541130  MIAMI                    FL  US
 MIA  12839 72202  25.82  80.28    4  19541201 19570430  MIAMI                    FL  US
 MIA  12839 72202  25.80  80.27    4  19570501 19770222  MIAMI/INT AP             FL  US
 TPA  12842 72211  27.97  82.53    9  19480101 19521200  TAMPA                    FL  US
 TPA  12842 72211  27.97  82.53    7  19521200 19570315  TAMPA                    FL  US
 TPA  12842 72211  27.97  82.53    8  19570316 19750626  TAMPA                    FL  US
 TPA  12842 72210  27.97  82.53    8  19750627 19750722  TAMPA                    FL  US
 TBW  12842 72210  27.70  82.40   13  19750723 99999999  TAMPA BAY/RUSKIN         FL  US
 PBI  12844 72203  26.68  80.12    6  19770303 19950719  W. PALM BEACH            FL  US 92803
 NQX  12850 72201  24.58  81.70    3  19540426 19590731  KEY WEST/BOCA CHICA NAS  FL  US
 NQX  12850 72201  24.58  81.68    3  19590801 19720624  KEY WEST/BOCA CHICA NAS  FL  US 12836
